Title,SR No,Project,Author
,59,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_numbers_to_word,https://github.com/CrestNiraj12
,60,https://github.com/Python-World/python-mini-projects/tree/master/projects/Shutdown_or_restart_your_device,https://github.com/Phillibob55
,61,https://github.com/Python-World/python-mini-projects/tree/master/projects/Check_website_connectivity,https://github.com/ShivSt
,62,https://github.com/Python-World/python-mini-projects/tree/master/projects/Digital_clock,https://github.com/adityaj7
,63,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_a_image_to_pdf,https://github.com/xlgd
,64,https://github.com/Python-World/python-mini-projects/tree/master/projects/Store_emails_in_csv,https://github.com/ShivSt
,65,https://github.com/Python-World/python-mini-projects/tree/master/projects/Internet_connection_check,https://github.com/Jakeogle94
,66,https://github.com/Python-World/python-mini-projects/tree/master/projects/XKCD_downloader,https://github.com/AdityaJ7
,67,https://github.com/Python-World/python-mini-projects/tree/master/projects/Website_blocker,https://github.com/Phillibob55
,68,https://github.com/Python-World/python-mini-projects/tree/master/projects/Dns_record,https://github.com/AdityaJ7
,69,https://github.com/Python-World/python-mini-projects/tree/master/projects/Python_auto_draw,https://github.com/tusharnankani
,70,https://github.com/Python-World/python-mini-projects/tree/master/projects/News_website_scraper,https://github.com/pratik-choudhari
,71,https://github.com/Python-World/python-mini-projects/tree/master/projects/RockPaperScissors_Game,https://github.com/tusharnankani
,72,https://github.com/Python-World/python-mini-projects/tree/master/projects/Extract_zip_files,https://github.com/AdityaJ7
,73,https://github.com/Python-World/python-mini-projects/blob/master/projects/Random_password_generator,https://github.com/tusharnankani
,74,https://github.com/Python-World/python-mini-projects/tree/master/projects/Geocoding,https://github.com/AdityaJ7
,75,https://github.com/Python-World/python-mini-projects/tree/master/projects/Py_carbon_clips,https://github.com/chavarera
,76,https://github.com/Python-World/python-mini-projects/tree/master/projects/Qr_code_generator,https://github.com/ShivSt
,77,https://github.com/Python-World/python-mini-projects/tree/master/projects/Recursive_password_generator,https://github.com/erfansaberi
,78,https://github.com/Python-World/python-mini-projects/tree/master/projects/Tic_tac_toe,https://github.com/erfansaberi
,79,https://github.com/Python-World/python-mini-projects/tree/master/projects/Tic_tac_toe_with_ai,https://github.com/tusharnankani
,80,https://github.com/Python-World/python-mini-projects/tree/master/projects/Easy_cartoonify,https://github.com/brtymn
,81,https://github.com/Python-World/python-mini-projects/tree/master/projects/Scrape_quotes,https://github.com/anandhakrishnanaji
,82,https://github.com/Python-World/python-mini-projects/tree/master/projects/Time_to_load_website,https://github.com/AdityaJ7
,83,https://github.com/Python-World/python-mini-projects/tree/master/Notebooks/Customer_loan_repayment_problem,https://github.com/Tomyzon1728
,84,https://github.com/Python-World/python-mini-projects/tree/master/projects/Wikipedia_search_wordcloud,https://github.com/namanshah01
,85,https://github.com/Python-World/python-mini-projects/tree/master/projects/Number_guessing_game,https://github.com/leader2one
,86,https://github.com/Python-World/python-mini-projects/tree/master/projects/Convert_JPEG_to_PNG,https://github.com/AnuragGupta806
,87,https://github.com/Python-World/python-mini-projects/tree/master/projects/Movie%20Information%20Scraper,https://github.com/anandhakrishnanaji
,88,https://github.com/Python-World/python-mini-projects/tree/master/projects/Fetch%20HTTP%20status%20code,https://github.com/AkshataJ96
,89,https://github.com/Python-World/python-mini-projects/tree/master/projects/Leap_Year_Checker,https://github.com/Hariom1509
,90,https://github.com/Python-World/python-mini-projects/tree/master/projects/Scraping%20Medium%20Articles,https://github.com/namanshah01
,91,https://github.com/Python-World/python-mini-projects/tree/master/projects/Scrape_Hacker_News,https://github.com/leader2one
,92,https://github.com/Python-World/python-mini-projects/tree/master/projects/Reduce_image_file_size,https://github.com/VIPverma01
,93,https://github.com/Python-World/python-mini-projects/tree/master/projects/EasyVideoPlayer,https://github.com/brtymn
,94,https://github.com/Python-World/python-mini-projects/tree/master/projects/download%20GeeksForGeeks%20articles,https://github.com/ShivSt
,95,https://github.com/Python-World/python-mini-projects/tree/master/projects/convert%20pdf%20to%20text,https://github.com/pi1814
,96,https://github.com/Python-World/python-mini-projects/tree/master/projects/Unstructured%20Supplemenrary%20%20Service%20Data,https://github.com/Tomyzon1728
,97,https://github.com/Python-World/python-mini-projects/tree/master/projects/Duplicate%20files%20remover,https://github.com/anandhakrishnanaji
,98,https://github.com/Python-World/python-mini-projects/tree/master/projects/convert_png_images_to_ico_format,https://github.com/weicheansoo
,99,https://github.com/Python-World/python-mini-projects/tree/master/projects/Find_imdb_rating,https://github.com/utkarshbajaj
,100,https://github.com/Python-World/python-mini-projects/tree/master/projects/Terminal_Based_Hangman_Game,https://github.com/neohboonyee99
,101,https://github.com/Python-World/python-mini-projects/tree/master/projects/whatsapp_Bot,https://github.com/urmil89
